Am241,Am241
E_eV,Sig_b
1.65023,59.814416
1.662078,59.0485739
1.673925,58.6126134
1.681626,58.5132392
1.689327,58.5667926
1.697028,58.7826221
1.704729,59.172914
1.71243,59.7532332
1.720131,60.5434149
1.727832,61.5687274
1.735533,62.8611842
1.74205,64.1931444
1.748566,65.7747637
1.755082,67.6427011
1.761598,69.8415731
1.768115,72.4269582
1.774631,75.4668223
1.777889,77.1835667
1.781147,79.0482297
1.784405,81.0754107
1.787663,83.2817035
1.792402,86.8501804
1.797141,90.9071349
1.80188,95.5370997
1.80425,98.0992937
1.806619,100.8447006
1.808989,103.792831
1.811358,106.9604505
1.813728,110.3718717
1.816097,114.0487021
1.818467,118.0216631
1.820836,122.3185482
1.823206,126.9784051
1.825575,132.0376685
1.828834,139.7385589
1.832092,148.4227511
1.833721,153.185289
1.83535,158.2591451
1.836979,163.6700315
1.838608,169.446375
1.840238,175.6228114
1.841867,182.2253401
1.843496,189.2938396
1.845125,196.8678345
1.846754,204.9895765
1.848383,213.7048537
1.850012,223.0624902
1.851641,233.1146492
1.852974,241.8953491
1.854307,251.2098235
1.85564,261.0909404
1.856973,271.5728886
1.858306,282.6905843
1.859639,294.4799624
1.860972,306.9770856
1.862304,320.2082254
1.863637,334.2296147
1.86497,349.0670735
1.866303,364.7552559
1.867635,381.3146041
1.868968,398.8009633
1.870301,417.2302139
1.871634,436.6274709
1.872966,456.9976068
1.874299,478.387043
1.875632,500.791057
1.878298,548.650956
1.880964,600.515973
1.883629,656.163069
1.886887,728.811731
1.890145,805.55861
1.893403,884.95444
1.896661,965.139476
1.900099,1048.154501
1.903537,1126.644862
1.906975,1197.522348
1.908694,1229.149084
1.910413,1257.751183
1.911862,1279.265102
1.91331,1298.198878
1.914759,1314.416903
1.916207,1327.755677
1.917656,1338.116652
1.919104,1345.394466
1.920552,1349.534529
1.922,1350.502142
1.923449,1348.287918
1.924897,1342.916146
1.926346,1334.432936
1.927794,1322.926986
1.929243,1308.487782
1.930691,1291.264512
1.933588,1249.050956
1.935388,1218.129386
1.937187,1184.098266
1.940785,1108.339017
1.944384,1025.208103
1.947982,938.196962
1.95157,850.702375
1.955157,765.211904
1.958745,683.822528
1.960539,645.18174
1.962332,608.126784
1.964799,559.883345
1.967265,514.980742
1.969732,473.452996
1.972198,435.3189898
1.973432,417.4801827
1.974665,400.4641741
1.975898,384.2378247
1.977131,368.7799012
1.978364,354.0674159
1.979597,340.0759582
1.98083,326.7794948
1.982063,314.1515709
1.984306,292.8048265
1.986548,273.4226151
1.98879,255.8312392
1.991032,239.871372
1.993274,225.3909921
1.995516,212.2473166
1.997758,200.307804
2.0,189.4506347
2.001815,181.3773145
2.00363,173.8864553
2.005445,166.928476
2.00726,160.4581938
2.009075,154.4341644
2.01089,148.8187407
2.012705,143.5776927
2.01452,138.679797
2.016335,134.0968457
2.01815,129.8032467
2.019965,125.7756126
2.02178,121.9931905
2.02541,115.0885098
2.029039,108.9582978
2.031514,105.1635525
2.033989,101.6471797
2.036464,98.3831063
2.038939,95.3482655
2.041414,92.5222056
2.043889,89.88675
2.046364,87.4257357
2.048838,85.1256054
2.053788,80.9529954
2.058738,77.2815936
2.063688,74.0397258
2.068637,71.1694154
2.072267,69.2716524
2.075897,67.5312484
2.079527,65.9341856
2.083156,64.4685506
2.086786,63.1227409
2.090416,61.8876889
2.097675,59.7175967
2.104935,57.9018588
2.112194,56.3974582
2.119454,55.1702478
2.126713,54.1947898
2.133313,53.5099747
2.139913,53.0069133
2.146513,52.6787982
2.153112,52.5221314
2.160372,52.5473956
2.167631,52.783619
2.174891,53.2397831
2.18215,53.9301177
2.18941,54.8754995
2.196669,56.1039323
2.203929,57.6533513
2.207559,58.5632975
2.211188,59.5728468
2.217128,61.4638776
2.223068,63.6917355
2.229008,66.3141008
2.231978,67.7953753
2.234947,69.4036636
2.237917,71.152445
2.240887,73.0553145
2.243857,75.1283171
2.246826,77.3889957
2.249796,79.8598178
2.252766,82.5640436
2.255736,85.5291937
2.258705,88.7857139
2.262335,93.2177554
2.265965,98.2185463
2.269595,103.8793501
2.27141,106.990109
2.273225,110.3074925
2.27504,113.8476649
2.276855,117.6281944
2.27867,121.6677046
2.280485,125.9863314
2.2823,130.6053293
2.284115,135.5472702
2.28593,140.8359447
2.287744,146.4928675
2.289312,151.7016198
2.290879,157.2204107
2.292447,163.0739135
2.294014,169.2723189
