U241,U241
E_eV,Sig_b
12.45423,14.30709004
12.48336,14.07961292
12.51249,13.86986581
12.54969,13.62481217
12.58689,13.40226994
12.62409,13.19942213
12.66128,13.01391859
12.69848,12.84366232
12.73568,12.68700972
12.77288,12.54254113
12.81007,12.40908079
12.86756,12.22178225
12.92504,12.05430839
12.98253,11.90398657
13.04001,11.76893
13.0975,11.64741678
13.15498,11.5381188
13.21247,11.43991922
13.26995,11.35202849
13.32406,11.27815575
13.38831,11.20114829
13.45256,11.13553643
13.51681,11.08138481
13.58106,11.0391108
13.64531,11.009513
13.67744,10.99981943
13.70956,10.99376911
13.74169,10.99159671
13.77381,10.99363944
13.80594,11.00031412
13.83806,11.01207028
13.87526,11.03267939
13.91246,11.06164232
13.94966,11.10004946
13.98685,11.14922069
14.02405,11.2108142
14.06124,11.28679178
14.09844,11.37964283
14.13563,11.49234732
14.16607,11.60199297
14.1965,11.72994037
14.22694,11.87931491
14.25737,12.05370299
14.27259,12.15170566
14.28781,12.2577613
14.30303,12.37262211
14.31824,12.49705013
14.33346,12.63216095
14.34868,12.77895006
14.3639,12.93862541
14.37911,13.11242299
14.39771,13.3465395
14.41631,13.60744729
14.43491,13.89892326
14.45351,14.22543737
14.47211,14.59230724
14.49071,15.00590219
14.50931,15.47390082
14.51861,15.73113805
14.5279,16.00531669
14.53678,16.28484996
14.54566,16.58290766
14.55454,16.9010821
14.56341,17.2407498
14.57229,17.6046565
14.58116,17.9941743
14.59004,18.4126381
14.59891,18.8618741
14.60779,19.3460241
14.61667,19.8681211
14.62555,20.4321804
14.63442,21.0420438
14.6433,21.7043085
14.65217,22.4234586
14.66105,23.2080256
14.66992,24.0642445
14.67922,25.050031
14.68852,26.1384615
14.69782,27.3446919
14.70712,28.6869409
14.71642,30.1874286
14.72572,31.8735401
14.73037,32.796594
14.73502,33.7795903
14.73967,34.8282768
14.74432,35.9492187
14.74897,37.1498991
14.75362,38.4388894
14.75827,39.8260733
14.76292,41.3228533
14.76757,42.9424816
14.77222,44.7003303
14.77687,46.6143691
14.78152,48.7055694
14.78617,50.9984762
14.79082,53.5218546
14.79547,56.3093799
14.80012,59.4004693
14.80477,62.8412099
14.80942,66.6853774
14.81407,70.9955064
14.8164,73.352762
14.81872,75.8441251
14.82253,80.276495
14.82633,85.1650635
14.83014,90.5937551
14.83394,96.5985366
14.83775,103.2826561
14.84155,110.68961
14.84535,118.922086
