Cd106,Cd106
E_eV,Sig_b
454.5016,5.9889732
454.5231,6.1486805
454.5446,6.3171651
454.5661,6.4951001
454.5877,6.6841311
454.6092,6.883327
454.6307,7.0944401
454.6522,7.3184604
454.6855,7.6934936
454.7022,7.8956448
454.7188,8.1067382
454.7355,8.3300127
454.7521,8.5635385
454.7688,8.8109349
454.7854,9.0701038
454.8021,9.345104
454.8187,9.6336448
454.8354,9.9402878
454.852,10.262523
454.8687,10.605487
454.8853,10.966417
454.9019,11.348739
454.9185,11.753991
454.9401,12.318368
454.9616,12.925384
454.9724,13.248647
454.9831,13.581771
454.9939,13.931565
455.0046,14.292155
455.0154,14.670945
455.0262,15.065298
455.037,15.475929
455.0477,15.899524
455.0585,16.344772
455.0692,16.804197
455.08,17.287217
455.0907,17.785727
455.1015,18.309938
455.1123,18.856216
455.1231,19.425519
455.1338,20.013237
455.1446,20.631385
455.1553,21.269572
455.1661,21.940823
455.1768,22.633841
455.1876,23.362748
455.1984,24.122422
455.2092,24.914142
455.2199,25.731414
455.2307,26.59083
455.2414,27.47786
455.2522,28.410474
455.2629,29.372852
455.2737,30.384467
455.2845,31.438071
455.2953,32.535222
455.306,33.66678
455.3168,34.855538
455.3275,36.081149
455.3383,37.368249
455.349,38.694746
455.3598,40.08722
455.3706,41.53538
455.3921,44.59149
455.4136,47.89093
455.4351,51.44928
455.4567,55.30107
455.4782,59.42695
455.4998,63.88196
455.5213,68.64149
455.5429,73.76657
455.5644,79.22621
455.5859,85.05947
455.6074,91.28207
455.629,97.94086
455.6505,104.98857
455.672,112.46842
455.6935,120.3926
455.715,128.77192
455.7365,137.61567
455.758,146.93129
455.7795,156.72433
455.8011,167.04689
455.8226,177.80428
455.8442,189.09481
455.8657,200.8094
455.8873,213.04931
455.9088,225.69034
455.9303,238.77404
455.9518,252.28294
455.9949,280.5556
456.0379,310.1641
456.081,340.9738
456.124,372.512
456.2336,453.7597
456.2767,484.8079
456.3198,514.585
456.3628,542.509
456.4058,568.1425
456.4489,591.0505
456.4919,610.681
456.5351,626.7654
456.5783,638.8782
