Ag109,Ag109
E_eV,Sig_b
30.97336,188.52995
30.98193,177.59566
30.9905,167.55858
30.99907,158.34158
31.00764,149.87288
31.01621,142.08575
31.02478,134.91855
31.03335,128.31478
31.04191,122.22949
31.05048,116.60114
31.05905,111.39416
31.06762,106.56959
31.07619,102.09213
31.08476,97.92997
31.09333,94.0544
31.1019,90.43957
31.11046,87.06605
31.12094,83.22819
31.13141,79.68374
31.14188,76.39918
31.15235,73.34843
31.16283,70.50593
31.1733,67.85694
31.18377,65.38085
31.19424,63.06196
31.20472,60.88432
31.21519,58.83976
31.22566,56.91511
31.23613,55.10059
31.24661,53.38583
31.25708,51.76623
31.27802,48.77978
31.28945,47.27785
31.30087,45.85881
31.32372,43.24041
31.34657,40.88236
31.36942,38.74981
31.39227,36.81379
31.41512,35.04995
31.43797,33.437759
31.46081,31.960325
31.48176,30.710158
31.50271,29.550145
31.52366,28.471554
31.5446,27.467175
31.56555,26.529279
31.58649,25.652788
31.60744,24.83155
31.62838,24.061653
31.64933,23.33812
31.67027,22.65788
31.69122,22.0169
31.71216,21.412724
31.73311,20.842023
31.75405,20.302855
31.775,19.792455
31.79594,19.309252
31.83783,18.416202
31.87972,17.610734
31.92161,16.88204
31.9635,16.22114
32.00539,15.6206
32.04728,15.074336
32.08917,14.577532
32.13105,14.12678
32.17104,13.73736
32.21103,13.387851
32.25102,13.080346
32.291,12.820006
32.311,12.710055
32.33099,12.615577
32.35099,12.538193
32.37098,12.479851
32.39098,12.442415
32.41097,12.427715
32.43096,12.437176
32.45095,12.471626
32.46714,12.517817
32.48332,12.579695
32.51569,12.744987
32.58043,13.162351
32.60269,13.294705
32.62494,13.399944
32.64719,13.465305
32.66944,13.479873
32.68472,13.45625
32.7,13.403437
32.71529,13.320877
32.73057,13.20919
32.74331,13.094806
32.75604,12.962595
32.76878,12.814049
32.78151,12.651414
32.80698,12.292513
32.83244,11.90535
32.86337,11.424369
32.89429,10.959641
32.90975,10.740395
32.92521,10.532484
32.94067,10.337116
32.95613,10.154964
32.97796,9.920569
32.99979,9.712146
33.02162,9.527899
33.04344,9.365438
33.06527,9.22187
33.0871,9.094516
33.10893,8.980793
33.13075,8.878448
33.15258,8.785416
33.17441,8.700111
33.21806,8.547632
33.26171,8.413194
33.30536,8.291914
33.35266,8.171802
33.39995,8.06105
33.44724,7.957976
33.49453,7.861426
33.58912,7.684677
33.6837,7.526089
33.77829,7.382516
33.87287,7.251663
33.96745,7.131652
34.06203,7.021084
34.14207,6.934122
34.2221,6.852674
34.30213,6.776262
34.38216,6.704468
34.4622,6.636914
34.54223,6.573293
34.70229,6.456695
34.86236,6.352715
35.02242,6.259821
35.18249,6.176769
35.34255,6.102599
35.45896,6.053788
35.57537,6.009037
35.69178,5.968161
35.80819,5.931024
35.96826,5.885896
36.12832,5.84755
36.28839,5.816025
36.44845,5.791534
36.60852,5.774478
36.76858,5.765484
36.84862,5.764279
36.92865,5.765453
37.00868,5.769174
37.08871,5.775635
37.19785,5.789282
37.30699,5.80913
37.41613,5.835976
37.52526,5.870807
37.6344,5.914972
37.68897,5.941078
37.74353,5.970178
37.7981,6.002542
37.85267,6.038453
37.90724,6.078238
37.9618,6.122257
38.04184,6.195402
38.12187,6.28014
38.2019,6.378364
38.28193,6.492365
38.32195,6.556143
38.36197,6.624967
38.40199,6.69929
38.442,6.779596
38.48202,6.866491
38.52203,6.96056
38.56205,7.062556
38.60206,7.173223
38.65299,7.328108
38.70392,7.500709
38.75485,7.693589
38.80578,7.909809
38.85671,8.153025
38.90764,8.42762
38.93311,8.578323
38.95857,8.738875
38.98404,8.910237
39.0095,9.093207
39.04952,9.406935
39.08954,9.756715
39.12956,10.14806
39.16957,10.587472
39.18958,10.827734
39.20959,11.083167
39.2296,11.355048
39.2496,11.644641
39.26961,11.953807
39.28962,12.284156
39.30963,12.637646
39.32963,13.016278
39.36237,13.69728
39.37874,14.069603
39.39511,14.465532
39.41148,14.887137
39.42785,15.336686
39.44422,15.816752
39.46059,16.330198
39.47696,16.880268
39.49333,17.470593
39.5097,18.105336
39.52607,18.789207
39.54244,19.527605
39.55881,20.326751
39.57518,21.19381
39.59155,22.137158
39.61156,23.408248
39.63157,24.829458
39.64158,25.604781
39.65158,26.427197
39.66158,27.301765
39.67158,28.233319
39.68159,29.228279
39.69159,30.290715
39.7016,31.429604
39.7116,32.650333
39.72161,33.964001
39.73161,35.377729
39.74161,36.903748
39.75161,38.554383
39.76162,40.345409
39.77162,42.288868
39.78163,44.406211
39.79163,46.712857
39.80164,49.235412
39.81164,51.993323
39.82165,55.01933
39.83165,58.33748
39.84166,61.987638
39.85166,65.998894
39.86167,70.41906
39.87167,75.282426
39.88168,80.645268
39.88668,83.524784
39.89168,86.546685
39.89668,89.717684
39.90168,93.044672
39.90668,96.5347
39.91168,100.194972
39.91987,106.577643
39.92805,113.461034
39.93624,120.895586
39.94442,128.896958
39.95261,137.518516
39.96079,146.772734
39.96898,156.714697
39.97716,167.351417
39.98171,173.584696
39.98626,180.050373
39.99081,186.753077
39.99535,193.681278
39.9999,200.869492
40.00445,208.306099
40.009,215.994207
40.01354,223.918754
40.01809,232.116717
40.02264,240.572636
40.03173,258.241985
40.04083,276.96723
40.04992,296.69819
40.05993,319.587483
40.06993,343.625487
40.07993,368.76912
40.08993,394.93267
40.09994,422.03584
40.10994,449.89456
40.11995,478.4125
40.12995,507.35904
40.13996,536.59826
40.14996,565.85898
40.16997,623.63226
40.18998,678.70023
40.19998,704.55645
40.20998,728.95495
40.2197,751.03149
40.22942,771.26582
40.23914,789.44736
40.24885,805.3678
40.26058,821.3682
40.2723,833.58527
40.28402,841.83905
40.29574,845.99805
40.3,846.48061
40.30853,845.79162
40.31705,842.90872
40.32984,834.52922
40.34263,821.44747
40.35542,803.92651
40.3682,782.32861
40.38114,756.71526
40.39407,727.84016
40.40701,696.18478
40.41994,662.34973
40.43288,626.84379
40.44581,590.276
40.45875,553.12361
40.47168,515.94406
40.49755,443.16314
40.51048,408.34271
40.52341,374.96368
40.53458,347.46529
40.54575,321.32495
40.55692,296.62316
40.56809,273.41077
40.57926,251.71236
40.59043,231.52851
40.6016,212.83934
40.61277,195.60748
40.61924,186.27283
40.62571,177.39811
40.63218,168.97032
40.63864,160.98764
40.64511,153.41066
40.65158,146.23697
40.65805,139.45105
40.66451,133.04658
40.67098,126.98788
40.67745,121.2689
40.68392,115.8737
40.69038,110.79427
40.69685,105.99915
40.70331,101.48799
40.70978,97.23196
40.71624,93.22979
40.72389,88.79084
40.73153,84.66183
40.73917,80.81563
40.74681,77.23218
40.75446,73.8883
40.7621,70.77482
40.76974,67.87043
40.77738,65.15942
40.78503,62.62391
40.79267,60.25686
40.80031,58.04215
40.80795,55.96805
40.8156,54.02122
40.82324,52.1967
40.83088,50.48264
40.83852,48.87053
40.85146,46.35102
40.86439,44.0697
40.87732,41.99533
40.89025,40.10282
40.90319,38.369234
40.91612,36.778641
40.92905,35.313592
40.94198,33.96026
40.95492,32.705734
40.96785,31.541594
40.98078,30.457842
40.99371,29.446614
41.00665,28.500348
41.01958,27.614487
41.03251,26.782953
41.04544,26.001065
41.05838,25.26411
41.07131,24.569506
41.08425,23.912867
41.09718,23.292238
41.12305,22.146574
41.14891,21.114455
41.17478,20.17991
41.20065,19.330746
41.22652,18.556399
41.25238,17.848199
41.27472,17.283558
41.29706,16.758148
41.3194,16.268265
41.34174,15.810637
41.36408,15.382372
41.38642,14.980902
41.40876,14.603944
41.4311,14.249458
41.45344,13.915617
41.47578,13.600785
41.49812,13.303489
41.52046,13.022399
41.5428,12.756314
41.56514,12.504145
41.60981,12.037784
41.63568,11.788604
41.66155,11.553291
41.68742,11.330796
41.71328,11.120247
41.76502,10.731216
41.81675,10.380341
41.86849,10.062481
41.92022,9.773569
41.97195,9.510002
42.02368,9.268787
42.06131,9.105889
42.09893,8.952638
42.13656,8.80818
42.17418,8.671893
42.21181,8.543071
42.24943,8.421205
42.32467,8.196192
42.39992,7.993161
42.47517,7.809176
42.55042,7.641803
42.62566,7.489029
42.6774,7.391517
42.72913,7.299595
42.78087,7.212782
42.8326,7.130711
42.88434,7.052985
42.93607,6.979307
43.03953,6.842891
43.143,6.719368
43.24646,6.60705
43.34993,6.504483
43.45339,6.410481
43.53335,6.343046
43.6133,6.279726
